date, pm25, pm10, o3, no2, so2
2022/11/9, 16, 18, 16, 8, 
2022/11/10, 23, 18, 13, 10, 
2022/11/11, 53, 29, 11, 13, 
2022/11/12, 72, 21, 10, 13, 
2022/11/13, 67, 26, 5, 10, 
2022/11/14, 71, 18, 19, 6, 
2022/11/15, 40, 12, 18, 6, 
2022/11/16, 27, 9, 23, 4, 
2022/11/17, 15, 12, 15, 8, 
2022/11/18, 36, 16, 13, 7, 
2022/11/19, 55, 21, 2, 12, 
2022/11/20, 73, 15, 13, 10, 
2022/11/21, 52, 10, 17, 5, 
2022/11/22, 26, 13, 19, 6, 
2022/11/23, 28, 16, 21, 7, 
2022/11/24, 31, 16, 19, 10, 
2022/11/25, 28, 21, 13, 12, 
2022/11/26, 50, 10, 14, 4, 
2022/11/27, 40, 18, 11, 10, 
2022/11/28, 50, 16, 4, 18, 
2022/11/29, 50, 17, 4, 12, 
2022/11/30, 65, 27, 7, 9, 
2022/12/1, 83, 25, 15, 5, 
2022/12/2, 86, 24, 15, 3, 
2022/12/3, 80, 26, 5, 5, 
2022/12/4, 89, 10, 7, 4, 
2022/12/5, 54, 9, 11, 11, 
2022/12/6, 36, 12, 18, 12, 
2022/12/7, 39, 10, 21, 10, 
2022/12/8, 33, 24, 15, 13, 
2022/12/9, 76, 32, 4, 17, 
2022/12/10, 84, 23, 14, 7, 
2022/12/11, 76, 27, 7, 14, 
2022/12/12, 72, 32, 2, 19, 
2022/12/13, 86, 28, 6, 19, 
2022/12/14, 77, 35, 1, 26, 
2022/12/15, 94, 26, 11, 16, 
2022/12/16, 59, 36, 9, 10, 
2022/12/17, 108, 28, 9, 13, 
2022/12/18, 91, 11, 13, 7, 
2022/12/19, 41, 9, 16, 7, 
2022/12/20, 16, 16, 14, 13, 
2022/12/21, 39, 12, 15, 10, 
2022/12/22, 33, 10, 24, 9, 
2022/12/23, 18, 28, 22, 6, 
2022/12/24, 26, 12, 14, 7, 
2022/12/25, 29, 10, 26, 3, 
2022/12/26, 21, 13, 21, 7, 
2022/12/27, 27, 8, 22, 3, 
2022/12/28, 13, 10, 28, 2, 
2022/12/29, 13, 10, 25, 3, 
2022/12/30, 10, 13, 26, 2, 
2022/12/31, 31, 23, 27, 2, 
2023/1/1, 28, 10, 23, 6, 
2022/7/1, 30, 11, 37, 3, 
2022/7/2, 30, 10, 28, 4, 
2022/7/3, 26, 9, 32, 4, 
2022/7/4, 29, 11, 29, 4, 
2022/7/5, 31, 10, 30, 3, 
2022/7/6, 26, 13, 23, 2, 
2022/7/7, 28, 14, 30, 3, 
2022/7/8, 31, 13, 23, 3, 
2022/7/9, 35, 11, 28, 1, 
2022/7/10, 32, 7, 21, 1, 
2022/7/11, 24, 12, 38, 6, 
2022/7/12, 35, 21, 42, 6, 
2022/7/13, 38, 12, 27, 2, 
2022/7/14, 18, 10, 29, 3, 
2022/7/15, 17, 10, 31, 2, 
2022/7/16, 21, 12, 35, 2, 
2022/7/17, 22, 19, 75, 7, 
2022/7/18, 36, 29, 91, 8, 
2022/7/19, 50, 32, 44, 3, 
2022/7/20, 60, 13, 29, 4, 
2022/7/21, 34, 11, 29, 1, 
2022/7/22, 20, 10, 40, 2, 
2022/7/23, 23, 15, 40, 4, 
2022/7/24, 33, 16, 27, 5, 
2022/7/25, 27, 14, 27, 1, 
2022/7/26, 22, 9, 29, 2, 
2022/7/27, 15, 9, 34, 2, 
2022/7/28, 16, 12, 41, 2, 
2022/7/29, 24, 13, 40, 2, 
2022/7/30, 27, 17, 28, 4, 
2022/7/31, 31, 9, 29, 1, 
2022/8/1, 16, 15, 30, 4, 
2022/8/2, 21, 26, 31, 3, 
2022/8/3, 28, 16, 28, 5, 
2022/8/4, 26, 10, 27, 1, 
2022/8/5, 23, 9, 32, 3, 
2022/8/6, 24, 9, 35, 2, 
2022/8/7, 23, 11, 31, 2, 
2022/8/8, 24, 8, 28, 2, 
2022/8/9, 15, 12, 43, 2, 
2022/8/10, 23, 21, 53, 3, 
2022/8/11, 35, 22, 67, 4, 
2022/8/12, 37, 24, 56, 4, 
2022/8/13, 38, 24, 59, 4, 
2022/8/14, 45, 22, 48, 6, 
2022/8/15, 44, 24, 55, 7, 1
2022/8/16, 62, 15, 38, 3, 
2022/8/17, 54, 9, 42, 3, 
2022/8/18, 25, 14, 18, 6, 
2022/8/19, 38, 12, 33, 3, 
2022/8/20, 23, 14, 31, 6, 
2022/8/21, 34, 16, 40, 4, 
2022/8/22, 28, 21, 39, 9, 
2022/8/23, 44, 15, 37, 5, 
2022/8/24, 40, 22, 63, 7, 
2022/8/25, 49, 16, 31, 2, 
2022/8/26, 21, 9, 27, 2, 
2022/8/27, 30, 10, 30, 1, 
2022/8/28, 25, 12, 31, 3, 
2022/8/29, 26, 11, 31, 2, 
2022/8/30, 28, 11, 34, 2, 
2022/8/31, 21, 12, 39, 3, 
2022/9/1, 29, 17, 42, 4, 
2022/9/2, 25, 18, 49, 5, 
2022/9/3, 38, 18, 39, 9, 
2022/9/4, 56, 19, 43, 10, 
2022/9/5, 36, 14, 37, 6, 
2022/9/6, 30, 13, 35, 5, 
2022/9/7, 33, 12, 25, 7, 
2022/9/8, 35, 11, 20, 4, 
2022/9/9, 26, 10, 31, 3, 
2022/9/10, 34, 10, 33, 6, 
2022/9/11, 42, 15, 38, 8, 
2022/9/12, 49, 13, 29, 8, 
2022/9/13, 40, 9, 27, 5, 
2022/9/14, 29, 10, 28, 3, 
2022/9/15, 27, 10, 26, 3, 
2022/9/16, 22, 11, 23, 2, 
2022/9/17, 28, 8, 19, 3, 
2022/9/18, 23, 15, 23, 4, 
2022/9/19, 24, 12, 26, 5, 
2022/9/20, 24, 14, 27, 8, 
2022/9/21, 41, 16, 28, 11, 
2022/9/22, 45, 18, 21, 15, 
2022/9/23, 57, 10, 21, 4, 
2022/9/24, 46, 10, 24, 5, 
2022/9/25, 35, 10, 20, 6, 
2022/9/26, 30, 8, 17, 6, 
2022/9/27, 30, 8, 20, 6, 
2022/9/28, 19, 13, 21, 9, 
2022/9/29, 43, 15, 23, 9, 
2022/9/30, 50, 9, 24, 3, 
2022/4/1, 24, 9, 33, 3, 
2022/4/2, 21, 11, 34, 7, 
2022/4/3, 33, 10, 25, 7, 
2022/4/4, 36, 8, 19, 6, 
2022/4/5, 24, 13, 25, 4, 
2022/4/6, 33, 9, 29, 2, 
2022/4/7, 20, 11, 30, 4, 
2022/4/8, 23, 14, 32, 3, 
2022/4/9, 24, 10, 34, 5, 
2022/4/10, 22, 12, 36, 9, 
2022/4/11, 47, 14, 31, 7, 
2022/4/12, 42, 19, 19, 11, 
2022/4/13, 47, 21, 32, 8, 
2022/4/14, 47, 9, 30, 2, 
2022/4/15, 38, 10, 35, 2, 
2022/4/16, 46, 10, 35, 4, 
2022/4/17, 47, 18, 41, 5, 
2022/4/18, 56, 11, 40, 7, 
2022/4/19, 42, 11, 39, 3, 
2022/4/20, 30, 12, 36, 3, 
2022/4/21, 37, 13, 34, 2, 
2022/4/22, 45, 19, 37, 2, 
2022/4/23, 54, 12, 36, 1, 
2022/4/24, 41, 13, 25, 4, 
2022/4/25, 52, 10, 36, 1, 
2022/4/26, 32, 13, 35, 4, 
2022/4/27, 37, 14, 33, 6, 
2022/4/28, 43, 12, 32, 2, 
2022/4/29, 47, 9, 32, 2, 
2022/4/30, 43, 13, 37, 3, 
2022/5/1, 51, 10, 39, 4, 
2022/5/2, 40, 11, 33, 3, 
2022/5/3, 40, 15, 33, 4, 
2022/5/4, 38, 20, 28, 9, 
2022/5/5, 60, 16, 32, 8, 
2022/5/6, 54, 15, 32, 6, 
2022/5/7, 52, 18, 37, 1, 
2022/5/8, 45, 16, 43, 4, 
2022/5/9, 48, 20, 35, 9, 
2022/5/10, 52, 14, 34, 3, 
2022/5/11, 30, 11, 32, 5, 
2022/5/12, 30, 14, 35, 4, 
2022/5/13, 36, 22, 42, 3, 
2022/5/14, 48, 21, 48, 2, 
2022/5/15, 51, 20, 33, 5, 
2022/5/16, 47, 16, 37, 6, 
2022/5/17, 35, 22, 36, 8, 
2022/5/18, 51, 19, 29, 6, 
2022/5/19, 42, 13, 32, 5, 
2022/5/20, 45, 13, 26, 2, 
2022/5/21, 40, 15, 42, 6, 
2022/5/22, 47, 14, 28, 8, 
2022/5/23, 51, 10, 30, 3, 
2022/5/24, 28, 10, 28, 4, 
2022/5/25, 31, 14, 28, 3, 
2022/5/26, 32, 15, 32, 2, 
2022/5/27, 36, 16, 30, 2, 
2022/5/28, 36, 10, 28, 2, 
2022/5/29, 28, 9, 29, 4, 
2022/5/30, 28, 12, 31, 6, 
2022/5/31, 45, 10, 35, 3, 
2022/6/1, 33, 10, 38, 4, 
2022/6/2, 41, 13, 46, 3, 
2022/6/3, 40, 10, 38, 1, 
2022/6/4, 38, 15, 28, 3, 
2022/6/5, 51, 19, 28, 3, 
2022/6/6, 41, 9, 34, 3, 
2022/6/7, 38, 11, 21, 5, 
2022/6/8, 35, 15, 28, 4, 
2022/6/9, 31, 17, 24, 4, 
2022/6/10, 33, 16, 35, 3, 
2022/6/11, 35, 17, 29, 3, 
2022/6/12, 32, 14, 31, 3, 
2022/6/13, 31, 11, 38, 3, 
2022/6/14, 33, 15, 43, 3, 
2022/6/15, 42, 13, 49, 2, 
2022/6/16, 43, 21, 70, 6, 
2022/6/17, 51, 25, 44, 4, 
2022/6/18, 42, 12, 28, , 
2022/6/19, 30, 12, 29, 1, 
2022/6/20, 33, 11, 33, 3, 
2022/6/21, 32, 13, 38, 3, 
2022/6/22, 31, 18, 56, 3, 
2022/6/23, 48, 19, 37, 5, 
2022/6/24, 43, 11, 24, 4, 
2022/6/25, 29, 13, 28, 3, 
2022/6/26, 27, 13, 25, 7, 
2022/6/27, 34, 12, 38, 3, 
2022/6/28, 28, 17, 50, 5, 
2022/6/29, 40, 16, 29, 5, 
2022/6/30, 36, 11, 27, 3, 
2022/1/3, 32, 10, 22, 4, 
2022/1/4, 33, 17, 20, 4, 
2022/1/5, 28, 16, 20, 11, 
2022/1/6, 40, 11, 22, 6, 
2022/1/7, 36, 9, 21, 7, 
2022/1/8, 36, 18, 27, 5, 
2022/1/9, 29, 22, 5, 19, 
2022/1/10, 69, 16, 6, 15, 
2022/1/11, 68, 17, 12, 14, 
2022/1/12, 65, 16, 5, 17, 
2022/1/13, 64, 17, 10, 18, 
2022/1/14, 64, 19, 6, 14, 
2022/1/15, 69, 25, 14, 11, 
2022/1/16, 81, 24, 21, 7, 
2022/1/17, 48, 18, 14, 14, 
2022/1/18, 49, 25, 21, 14, 
2022/1/19, 72, 14, 29, 3, 
2022/1/20, 37, 18, 24, 10, 
2022/1/21, 37, 14, 21, 6, 
2022/1/22, 43, 14, 16, 7, 
2022/1/23, 53, 26, 16, 6, 
2022/1/24, 78, 37, 10, 8, 
2022/1/25, 112, 37, 10, 12, 
2022/1/26, 110, 15, 24, 6, 
2022/1/27, 53, 23, 25, 10, 
2022/1/28, 51, 15, 29, 5, 
2022/1/29, 46, 34, 29, 4, 
2022/1/30, 48, 24, 30, 2, 
2022/1/31, 40, 18, 27, 6, 
2022/2/1, 37, 30, 27, 6, 
2022/2/2, 53, 12, 19, 7, 
2022/2/3, 50, 10, 26, 5, 
2022/2/4, 29, 15, 27, 4, 
2022/2/5, 32, 13, 32, 2, 
2022/2/6, 26, 21, 31, 4, 
2022/2/7, 34, 14, 27, 6, 
2022/2/8, 40, 9, 24, 6, 
2022/2/9, 43, 14, 23, 7, 
2022/2/10, 48, 21, 28, 8, 
2022/2/11, 41, 21, 23, 12, 
2022/2/12, 56, 14, 26, 4, 
2022/2/13, 51, 10, 28, 3, 
2022/2/14, 30, 11, 23, 7, 
2022/2/15, 34, 11, 23, 4, 
2022/2/16, 35, 18, 29, 4, 
2022/2/17, 36, 19, 30, 4, 
2022/2/18, 38, 16, 28, 3, 
2022/2/19, 30, 14, 34, 2, 
2022/2/20, 33, 20, 30, 3, 
2022/2/21, 37, 27, 28, 7, 
2022/2/22, 48, 17, 27, 7, 
2022/2/23, 49, 12, 27, 5, 
2022/2/24, 36, 19, 27, 5, 
2022/2/25, 37, 19, 26, 12, 
2022/2/26, 61, 15, 25, 7, 
2022/2/27, 59, 15, 23, 9, 
2022/2/28, 61, 30, 10, 16, 
2022/3/1, 83, 28, 26, 13, 
2022/3/2, 82, 21, 27, 10, 
2022/3/3, 77, 22, 23, 8, 
2022/3/4, 69, 26, 18, 6, 
2022/3/5, 84, 13, 29, 3, 
2022/3/6, 55, 13, 29, 7, 
2022/3/7, 55, 16, 27, 7, 
2022/3/8, 56, 28, 29, 10, 
2022/3/9, 75, 30, 31, 13, 
2022/3/10, 79, 22, 28, 7, 
2022/3/11, 66, 14, 30, 4, 
2022/3/12, 43, 15, 33, 4, 
2022/3/13, 51, 14, 25, 7, 
2022/3/14, 44, 23, 21, 15, 
2022/3/15, 61, 22, 22, 10, 
2022/3/16, 64, 14, 28, 5, 
2022/3/17, 39, 18, 30, 14, 
2022/3/18, 51, 11, 30, 2, 
2022/3/19, 40, 25, 29, 4, 
2022/3/20, 77, 34, 32, 10, 
2022/3/21, 91, 36, 35, 15, 
2022/3/22, 83, 40, 39, 13, 
2022/3/23, 85, 41, 44, 10, 
2022/3/24, 96, 43, 40, 6, 
2022/3/25, 105, 30, 45, 4, 
2022/3/26, 76, 9, 33, 1, 
2022/3/27, 38, 15, 25, 5, 
2022/3/28, 50, 24, 35, 3, 
2022/3/29, 66, 17, 31, 5, 
2022/3/30, 45, 5, 26, 4, 
2022/3/31, 24, 7, 30, 2, 
2021/12/6, 72, 18, 15, 7, 
2021/12/7, 47, 13, 20, 10, 
2021/12/8, 39, 9, 21, 7, 
2021/12/9, 58, 17, 12, 13, 
2021/12/10, 53, 13, 16, 10, 
2021/12/11, 64, 19, 10, 15, 
2021/12/12, 58, 13, 16, 7, 
2021/12/13, 60, 11, 14, 12, 
2021/12/14, 67, 14, 9, 10, 
2021/12/15, 71, 18, 6, 12, 
2021/12/16, 66, 17, 5, 18, 
2021/12/17, 52, 9, 12, 11, 
2021/12/18, 45, 8, 18, 4, 
2021/12/19, 49, 8, 23, 4, 
2021/12/20, 50, 20, 24, 11, 
2021/12/21, 72, 23, 7, 19, 
2021/12/22, 80, 27, , 19, 
2021/12/23, 82, 29, 3, 15, 
2021/12/24, 36, 12, 13, 9, 
2021/12/25, 23, 8, 22, 3, 
2021/12/26, 37, 12, 18, 7, 
2021/12/27, 50, 13, 7, 11, 
2021/12/28, 25, 11, 22, 4, 
2021/12/29, 30, 11, 14, 8, 
2021/12/30, 35, 12, 19, 4, 
2021/12/31, 42, 14, 16, 4, 
2022/1/1, 62, 25, 15, 5, 
2022/1/2, 36, 14, 29, 3, 
2021/7/1, 45, 16, 28, 5, 
2021/7/2, 48, 16, 37, 5, 
2021/7/3, 55, 10, 19, 4, 
2021/7/4, 36, 11, 20, 4, 
2021/7/5, 24, 12, 24, 3, 
2021/7/6, 20, 13, 22, 4, 
2021/7/7, 30, 12, 27, 9, 
2021/7/8, 47, 13, 29, 4, 
2021/7/9, 47, 16, 32, 4, 
2021/7/10, 65, 12, 32, 10, 
2021/7/11, 52, 13, 33, 11, 
2021/7/12, 53, 15, 32, 3, 
2021/7/13, 52, 15, 32, 2, 
2021/7/14, 42, 14, 29, 1, 
2021/7/15, 35, 23, 22, 1, 
2021/7/16, 45, 14, 24, 1, 
2021/7/17, 36, 13, 25, 4, 
2021/7/18, 37, 10, 27, 2, 
2021/7/19, 39, 14, 32, 3, 
2021/7/20, 42, 15, 44, 4, 
2021/7/21, 51, 10, 32, 2, 
2021/7/22, 39, 12, 24, 3, 
2021/7/23, 39, 17, 24, 5, 
2021/7/24, 47, 18, 33, 4, 
2021/7/25, 52, 14, 29, 5, 
2021/7/26, 37, 15, 28, 4, 
2021/7/27, 46, 13, 23, 3, 
2021/7/28, 30, 14, 24, 2, 
2021/7/29, 28, 16, 23, 5, 
2021/7/30, 34, 12, 30, 2, 
2021/7/31, 18, 12, 26, 3, 
2021/8/1, 31, 9, 28, 2, 
2021/8/2, 20, 8, 25, 4, 
2021/8/3, 26, 9, 33, 4, 
2021/8/4, 36, 15, 43, 5, 
2021/8/5, 49, 11, 23, 2, 
2021/8/6, 28, 10, 22, 2, 
2021/8/7, 21, 12, 21, 1, 
2021/8/8, 26, 11, 19, 3, 
2021/8/9, 26, 11, 23, 4, 
2021/8/10, 30, 10, 33, 7, 
2021/8/11, 35, 14, 34, 6, 
2021/8/12, 51, 14, 23, 6, 
2021/8/13, 44, 18, 23, 4, 
2021/8/14, 47, 10, 28, 6, 
2021/8/15, 25, 14, 26, 2, 
2021/8/16, 28, 14, 20, 4, 
2021/8/17, 31, 9, 20, 4, 
2021/8/18, 20, 15, 23, 6, 
2021/8/19, 38, 14, 21, 4, 
2021/8/20, 38, 13, 29, 6, 
2021/8/21, 42, 11, 22, 3, 
2021/8/22, 29, 10, 29, 2, 
2021/8/23, 25, 11, 30, 2, 
2021/8/24, 38, 11, 31, 3, 
2021/8/25, 37, 13, 23, 2, 
2021/8/26, 23, 11, 24, 2, 
2021/8/27, 22, 7, 25, 1, 
2021/8/28, 25, 10, 24, 1, 
2021/8/29, 26, 13, 30, 2, 
2021/8/30, 39, 13, 28, 1, 
2021/8/31, 43, 12, 28, 2, 
2021/9/1, 41, 13, 31, 8, 
2021/9/2, 46, 17, 33, 12, 
2021/9/7, 49, 23, 51, 10, 
2021/9/8, 60, 26, 37, 7, 
2021/9/9, 54, 17, 19, 8, 
2021/9/10, 39, 12, 21, 4, 
2021/9/11, 33, 15, 27, 4, 
2021/9/12, 38, 9, 26, 6, 
2021/9/13, 20, 16, 25, 7, 
2021/9/14, 44, 15, 29, 7, 
2021/9/15, 46, 14, 35, 3, 
2021/9/16, 34, 18, 26, 11, 
2021/9/17, 69, 14, 31, 7, 
2021/9/18, 42, 10, 23, 3, 
2021/9/19, 35, 11, 26, 4, 
2021/9/20, 31, 12, 28, 7, 
2021/9/21, 43, 16, 28, 11, 
2021/9/22, 66, 18, 25, 8, 
2021/9/23, 49, 15, 26, 5, 
2021/9/24, 38, 16, 20, 7, 
2021/9/25, 51, 18, 31, 10, 
2021/9/26, 58, 17, 25, 6, 
2021/9/27, 34, 15, 26, 7, 
2021/9/28, 31, 9, 21, 5, 
2021/4/1, 67, 13, 32, 3, 
2021/4/2, 32, 26, 37, 8, 
2021/4/3, 45, 16, 34, 10, 
2021/4/4, 38, 14, 30, 9, 
2021/4/5, 31, 12, 30, 7, 
2021/4/6, 22, 14, 30, 3, 
2021/4/7, 12, 13, 27, 7, 
2021/4/8, 39, 16, 30, 7, 
2021/4/9, 48, 8, 26, 2, 
2021/4/10, 28, 6, 33, 2, 
2021/4/11, 16, 11, 32, 5, 
2021/4/12, 27, 10, 34, 7, 
2021/4/13, 30, 12, 34, 8, 
2021/4/14, 42, 9, 32, 5, 
2021/4/15, 35, 13, 35, 4, 
2021/4/16, 34, 15, 35, 2, 
2021/4/17, 33, 14, 36, 4, 
2021/4/18, 48, 14, 31, 5, 
2021/4/19, 49, 19, 37, 7, 
2021/4/20, 61, 21, 36, 4, 
2021/4/21, 59, 18, 33, 2, 
2021/4/22, 34, 12, 36, 4, 
2021/4/23, 34, 10, 34, 2, 
2021/4/24, 38, 13, 33, 1, 
2021/4/25, 35, 11, 35, 3, 
2021/4/26, 33, 10, 40, 3, 
2021/4/27, 36, 17, 36, 5, 
2021/4/28, 50, 19, 35, 3, 
2021/4/29, 55, 18, 31, 6, 
2021/4/30, 48, 13, 38, 5, 
2021/5/1, 39, 10, 33, 3, 
2021/5/2, 25, 16, 36, 6, 
2021/5/3, 52, 11, 33, 3, 
2021/5/4, 29, 14, 30, 3, 
2021/5/5, 27, 9, 27, 6, 
2021/5/6, 33, 11, 32, 4, 
2021/5/7, 25, 12, 26, 7, 
2021/5/8, 45, 14, 32, 3, 
2021/5/9, 34, 13, 28, 4, 
2021/5/10, 30, 16, 22, 7, 
2021/5/11, 39, 15, 31, 6, 
2021/5/12, 41, 13, 36, 5, 
2021/5/13, 34, 11, 30, 3, 
2021/5/14, 38, 13, 28, 4, 
2021/5/15, 43, 15, 26, 3, 
2021/5/16, 30, 10, 32, 5, 
2021/5/17, 30, 10, 34, 5, 
2021/5/18, 32, 13, 26, 7, 
2021/5/19, 35, 14, 30, 7, 
2021/5/20, 47, 23, 31, 3, 
2021/5/21, 30, 13, 29, 2, 
2021/5/22, 22, 14, 34, 3, 
2021/5/23, 26, 10, 30, 3, 
2021/5/24, 15, 10, 26, 5, 
2021/5/25, 26, 12, 30, 5, 
2021/5/26, 27, 16, 26, 4, 
2021/5/27, 29, 11, 31, 3, 
2021/5/28, 34, 11, 35, 2, 
2021/5/29, 34, 12, 35, 1, 
2021/5/30, 45, 15, 39, 3, 
2021/5/31, 45, 17, 48, 4, 
2021/6/1, 28, 20, 63, 5, 
2021/6/2, 46, 21, 42, 6, 
2021/6/3, 44, 22, 47, 5, 
2021/6/4, 53, 22, 36, 2, 
2021/6/5, 61, 10, 35, 2, 
2021/6/6, 41, 9, 41, 3, 
2021/6/7, 32, 12, 42, 3, 
2021/6/8, 37, 16, 42, 5, 
2021/6/9, 45, 15, 40, 8, 
2021/6/10, 33, 20, 22, 6, 
2021/6/11, 52, 11, 27, 4, 
2021/6/12, 32, 15, 39, 2, 
2021/6/13, 42, 20, 58, 5, 
2021/6/14, 47, 11, 35, 2, 
2021/6/15, 26, 19, 64, 5, 
2021/6/16, 40, 31, 52, 6, 
2021/6/17, 54, 26, 52, 4, 
2021/6/18, 52, 16, 22, 4, 
2021/6/19, 41, 11, 36, 2, 
2021/6/20, 26, 8, 27, 2, 
2021/6/21, 22, 15, 28, 2, 
2021/6/22, 38, 13, 29, 2, 
2021/6/23, 24, 11, 34, 3, 
2021/6/24, 31, 18, 19, 8, 
2021/6/25, 52, 16, 44, 4, 
2021/6/26, 53, 24, 39, 2, 
2021/6/27, 50, 15, 28, 5, 
2021/6/28, 48, 13, 20, 4, 
2021/6/29, 43, 9, 22, 3, 
2021/6/30, 28, 17, 25, 3, 
2021/1/4, 30, 7, 10, 4, 
2021/1/5, 36, 8, 10, 7, 
2021/1/6, 32, 6, 15, 8, 
2021/1/7, 19, 8, 6, 11, 
2021/1/8, 45, 16, 13, 19, 
2021/1/9, 57, 15, 18, 14, 
2021/1/10, 55, 13, 20, 8, 
2021/1/11, 54, 12, 25, 6, 
2021/1/12, 21, 15, 21, 7, 
2021/1/13, 16, 12, 15, 8, 
2021/1/14, 31, 21, 10, 13, 
2021/1/15, 56, 20, 11, 11, 
2021/1/16, 61, 18, 20, 8, 
2021/1/17, 52, 18, 14, 10, 
2021/1/18, 41, 8, 20, 5, 
2021/1/19, 33, 10, 22, 5, 
2021/1/20, 31, 11, 26, 4, 
2021/1/21, 22, 12, 21, 10, 
2021/1/22, 29, 16, 19, 11, 
2021/1/23, 52, 14, 20, 7, 
2021/1/24, 37, 15, 23, 11, 
2021/1/25, 49, 14, 24, 7, 
2021/1/26, 28, 15, 18, 11, 
2021/1/27, 44, 12, 8, 12, 
2021/1/28, 41, 13, 20, 8, 
2021/1/29, 35, 8, 20, 3, 
2021/1/30, 37, 14, 14, 5, 
2021/1/31, 61, 19, 11, 9, 
2021/2/1, 71, 21, 19, 12, 
2021/2/2, 61, 14, 19, 11, 
2021/2/3, 30, 22, 13, 13, 
2021/2/4, 45, 23, 6, 16, 
2021/2/5, 67, 19, 19, 8, 
2021/2/6, 71, 12, 26, 2, 
2021/2/7, 31, 12, 27, 4, 
2021/2/8, 34, 12, 24, 8, 
2021/2/9, 49, 9, 24, 6, 
2021/2/10, 45, 15, 27, 12, 
2021/2/11, 56, 18, 25, 9, 
2021/2/12, 71, 19, 27, 7, 
2021/2/13, 61, 15, 23, 7, 
2021/2/14, 50, 15, 21, 9, 
2021/2/15, 47, 14, 18, 11, 
2021/2/16, 55, 19, 22, 7, 
2021/2/17, 43, 12, 21, 6, 
2021/2/18, 36, 14, 20, 8, 
2021/2/19, 39, 26, 21, 5, 
2021/2/20, 47, 21, 23, 6, 
2021/2/21, 53, 24, 18, 10, 
2021/2/22, 49, 39, 20, 9, 
2021/2/23, 62, 29, 22, 9, 
2021/2/24, 58, 42, 21, 9, 
2021/2/25, 66, 17, 25, 10, 
2021/2/26, 44, 15, 21, 6, 
2021/2/27, 45, 11, 23, 5, 
2021/2/28, 48, 15, 18, 5, 
2021/3/1, 55, 27, 13, 13, 
2021/3/2, 74, 42, 7, 19, 
2021/3/3, 100, 28, 33, 8, 
2021/3/4, 70, 12, 30, 6, 
2021/3/5, 36, 14, 30, 8, 
2021/3/6, 44, 20, 27, 10, 
2021/3/7, 64, 26, 24, 8, 
2021/3/8, 71, 13, 19, 6, 
2021/3/9, 39, 24, 26, 11, 
2021/3/10, 67, 14, 26, 3, 
2021/3/11, 42, 17, 26, 5, 
2021/3/12, 32, 12, 28, 3, 
2021/3/13, 26, 14, 25, 4, 
2021/3/14, 28, 16, 27, 4, 
2021/3/15, 25, 15, 25, 5, 
2021/3/16, 27, 7, 28, 2, 
2021/3/17, 22, 15, 28, 8, 
2021/3/18, 36, 9, 28, 4, 
2021/3/19, 28, 9, 26, 4, 
2021/3/20, 37, 20, 30, 2, 
2021/3/21, 36, 14, 30, 4, 
2021/3/22, 30, 31, 22, 11, 
2021/3/23, 82, 39, 28, 14, 
2021/3/24, 102, 30, 28, 11, 
2021/3/25, 71, 16, 32, 7, 
2021/3/26, 41, 14, 28, 3, 
2021/3/27, 24, 15, 27, 4, 
2021/3/28, 31, 16, 30, 8, 
2021/3/29, 42, 26, 38, 16, 
2021/3/30, 66, 32, 38, 19, 
2021/3/31, 87, 30, 30, 10, 
2020/10/1, 29, 12, 17, 7, 
2020/10/2, 27, 18, 15, 5, 
2020/10/3, 41, 7, 22, 2, 
2020/10/4, 8, 7, 18, 4, 
2020/10/5, 16, 10, 16, 5, 
2020/10/6, 14, 11, 19, 6, 
2020/10/7, 19, 11, 19, 6, 
2020/10/8, 12, 9, 20, 8, 
2020/10/9, 15, 9, 21, 6, 
2020/10/10, 20, 10, 22, 6, 
2020/10/11, 20, 14, 21, 11, 
2020/10/12, 19, 13, 12, 9, 
2020/10/13, 32, 10, 18, 7, 
2020/10/14, 20, 7, 18, 4, 
2020/10/15, 9, 9, 20, 7, 
2020/10/16, 18, 18, 14, 11, 
2020/10/17, 48, 22, 22, 8, 
2020/10/18, 45, 13, 13, 10, 
2020/10/19, 29, 16, 13, 9, 
2020/10/20, 36, 10, 24, 4, 
2020/10/21, 13, 10, 20, 6, 
2020/10/22, 12, 17, 20, 11, 
2020/10/23, 37, 9, 19, 3, 
2020/10/24, 11, 7, 24, 3, 
2020/10/25, 13, 9, 19, 6, 
2020/10/26, 13, 13, 18, 6, 
2020/10/27, 17, 8, 19, 6, 
2020/10/28, 11, 14, 18, 8, 
2020/10/29, 17, 9, 19, 4, 
2020/10/30, 14, 11, 24, 4, 
2020/10/31, 21, 20, 19, 3, 
2020/11/1, 18, 11, 25, 3, 
2020/11/2, 17, 17, 22, 6, 
2020/11/3, 24, 16, 18, 12, 
2020/11/4, 27, 17, 10, 18, 
2020/11/5, 41, 29, 11, 15, 
2020/11/6, 70, 24, 5, 14, 
2020/11/7, 65, 27, 3, 12, 
2020/11/8, 67, 27, 9, 15, 
2020/11/9, 53, 35, 2, 14, 
2020/11/10, 69, 25, 9, 11, 
2020/11/11, 66, 12, 19, 8, 
2020/11/12, 23, 16, 12, 11, 
2020/11/13, 32, 13, 18, 8, 
2020/11/14, 39, 9, 25, 2, 
2020/11/15, 23, 11, 25, 6, 
2020/11/16, 14, 11, 17, 6, 
2020/11/17, 19, 12, 16, 7, 
